mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 1698183555, 1137.615723, 27.120239, 48.501587
 1698183576, 1137.437012, 27.149612, 48.471069
 1698183597, 1134.278809, 27.192337, 48.475647
 1698183617, 1131.540039, 27.192337, 48.304749
 1698183637, 1130.247070, 27.106888, 48.535156
 1698183658, 1119.323730, 27.149612, 48.396301
 1698183678, 1112.009277, 27.221710, 48.233032
 1698183699, 1112.181641, 27.221710, 48.112488
 1698183719, 1109.922852, 27.162964, 48.263550
 1698183740, 1111.831055, 27.192337, 48.219299
 1698183760, 1108.044434, 27.149612, 48.164368
 1698183781, 1104.833496, 27.120239, 48.355103
 1698183801, 1102.356445, 27.106888, 48.194885
 1698183822, 1096.854004, 27.093536, 48.242188
 1698183842, 1097.168457, 27.162964, 48.191833
 1698183863, 1102.987305, 27.120239, 48.173523
 1698183883, 1096.730469, 27.133591, 48.136902
 1698183904, 1097.521484, 27.176315, 47.975159
 1698183924, 1096.936035, 27.162964, 48.008728
 1698183945, 1094.336914, 27.208359, 47.966003
 1698183965, 1093.434570, 27.221710, 47.747803
 1698183986, 1091.465820, 27.162964, 47.851563
 1698184006, 1089.619141, 27.192337, 47.805786
 1698184027, 1089.276367, 27.162964, 47.775269
 1698184047, 1090.159668, 27.221710, 47.601318
 1698184068, 1088.485840, 27.208359, 47.576904
 1698184088, 1087.562500, 27.162964, 47.631836
 1698184109, 1083.551758, 27.221710, 47.601318
 1698184129, 1080.445313, 27.208359, 47.454834
 1698184150, 1076.948730, 27.192337, 47.453308
 1698184170, 1076.539063, 27.120239, 47.613525
 1698184191, 1071.241699, 27.120239, 47.587585
 1698184211, 1069.604492, 27.093536, 47.645569
 1698184231, 1066.780273, 27.149612, 47.494507
 1698184252, 1068.032227, 27.077515, 47.512817
 1698184272, 1062.437500, 27.149612, 47.434998
 1698184293, 1059.069824, 27.162964, 47.303772
 1698184313, 1060.743164, 27.176315, 47.303772
 1698184334, 1057.769043, 27.162964, 47.206116
 1698184354, 1056.249023, 27.235062, 47.042847
 1698184375, 1056.066895, 27.208359, 47.100830
